station,distance_km,time_s,amplitude
CI.CLC,5.08341,32.5305,-1.10077e+08
CI.CLC,5.08341,32.5805,-1.10574e+08
CI.CLC,5.08341,32.6305,-1.1097e+08
CI.CLC,5.08341,32.6805,-1.10716e+08
CI.CLC,5.08341,32.7305,-1.10816e+08
CI.CLC,5.08341,32.7805,-1.11107e+08
CI.CLC,5.08341,32.8305,-1.11986e+08
CI.CLC,5.08341,32.8805,-1.12464e+08
CI.CLC,5.08341,32.9305,-1.1303e+08
CI.CLC,5.08341,32.9805,-1.13706e+08
CI.CLC,5.08341,33.0305,-1.13208e+08
CI.CLC,5.08341,33.0805,-1.1414e+08
CI.CLC,5.08341,33.1305,-1.13842e+08
CI.CLC,5.08341,33.1805,-1.12991e+08
CI.CLC,5.08341,33.2305,-1.12299e+08
CI.CLC,5.08341,33.2805,-1.11499e+08
CI.CLC,5.08341,33.3305,-1.11469e+08
CI.CLC,5.08341,33.3805,-1.12208e+08
CI.CLC,5.08341,33.4305,-1.123e+08
CI.CLC,5.08341,33.4805,-1.12397e+08
CI.CLC,5.08341,33.5305,-1.11518e+08
CI.CLC,5.08341,33.5805,-1.12239e+08
CI.CLC,5.08341,33.6305,-1.13819e+08
CI.CLC,5.08341,33.6805,-1.13206e+08
CI.CLC,5.08341,33.7305,-1.13515e+08
CI.CLC,5.08341,33.7805,-1.13826e+08
CI.CLC,5.08341,33.8305,-1.13177e+08
CI.CLC,5.08341,33.8805,-1.13422e+08
CI.CLC,5.08341,33.9305,-1.13095e+08
CI.CLC,5.08341,33.9805,-1.12267e+08
CI.CLC,5.08341,34.0305,-1.11288e+08
CI.CLC,5.08341,34.0805,-1.10867e+08
CI.CLC,5.08341,34.1305,-1.0992e+08
CI.CLC,5.08341,34.1805,-1.09697e+08
CI.CLC,5.08341,34.2305,-1.0906e+08
CI.CLC,5.08341,34.2805,-1.09284e+08
CI.CLC,5.08341,34.3305,-1.08527e+08
CI.CLC,5.08341,34.3805,-1.09399e+08
CI.CLC,5.08341,34.4305,-1.09279e+08
CI.CLC,5.08341,34.4805,-1.08455e+08
CI.CLC,5.08341,34.5305,-1.08506e+08
CI.CLC,5.08341,34.5805,-1.08295e+08
CI.CLC,5.08341,34.6305,-1.0923e+08
CI.CLC,5.08341,34.6805,-1.10293e+08
CI.CLC,5.08341,34.7305,-1.09924e+08
CI.CLC,5.08341,34.7805,-1.10348e+08
CI.CLC,5.08341,34.8305,-1.10322e+08
CI.CLC,5.08341,34.8805,-1.1048e+08
CI.CLC,5.08341,34.9305,-1.12069e+08
CI.CLC,5.08341,34.9805,-1.11379e+08
CI.CLC,5.08341,35.0305,-1.10371e+08
CI.CLC,5.08341,35.0805,-1.10206e+08
CI.CLC,5.08341,35.1305,-1.09848e+08
CI.CLC,5.08341,35.1805,-1.08125e+08
CI.CLC,5.08341,35.2305,-1.08268e+08
CI.CLC,5.08341,35.2805,-1.08556e+08
CI.CLC,5.08341,35.3305,-1.09604e+08
CI.CLC,5.08341,35.3805,-1.08519e+08
CI.CLC,5.08341,35.4305,-1.08438e+08
CI.CLC,5.08341,35.4805,-1.09107e+08
CI.CLC,5.08341,35.5305,-1.08953e+08
CI.CLC,5.08341,35.5805,-1.08786e+08
CI.CLC,5.08341,35.6305,-1.097e+08
CI.CLC,5.08341,35.6805,7.71529e+08
CI.CLC,5.08341,35.7305,7.71756e+08
CI.CLC,5.08341,35.7805,7.72145e+08
CI.CLC,5.08341,35.8305,7.71778e+08
CI.CLC,5.08341,35.8805,7.71975e+08
CI.CLC,5.08341,35.9305,7.71458e+08
CI.CLC,5.08341,35.9805,7.70764e+08
CI.CLC,5.08341,36.0305,7.69792e+08
CI.CLC,5.08341,36.0805,7.69832e+08
CI.CLC,5.08341,36.1305,7.69619e+08
CI.CLC,5.08341,36.1805,7.69765e+08
CI.CLC,5.08341,36.2305,7.69827e+08
CI.CLC,5.08341,36.2805,7.70053e+08
CI.CLC,5.08341,36.3305,7.70047e+08
CI.CLC,5.08341,36.3805,7.70312e+08
CI.CLC,5.08341,36.4305,7.70688e+08
CI.CLC,5.08341,36.4805,7.70439e+08
CI.CLC,5.08341,36.5305,7.71145e+08
CI.CLC,5.08341,36.5805,7.69905e+08
CI.CLC,5.08341,36.6305,7.69662e+08
CI.CLC,5.08341,36.6805,7.70178e+08
CI.CLC,5.08341,36.7305,7.7036e+08
CI.CLC,5.08341,36.7805,7.69853e+08
CI.CLC,5.08341,36.8305,-1.91821e+09
CI.CLC,5.08341,36.8805,-1.91844e+09
CI.CLC,5.08341,36.9305,-1.91858e+09
CI.CLC,5.08341,36.9805,-1.91812e+09
CI.CLC,5.08341,37.0305,-1.91729e+09
CI.CLC,5.08341,37.0805,-1.91658e+09
CI.CLC,5.08341,37.1305,-1.91628e+09
CI.CLC,5.08341,37.1805,-1.91619e+09
CI.CLC,5.08341,37.2305,-1.9163e+09
CI.CLC,5.08341,37.2805,-1.91667e+09
CI.CLC,5.08341,37.3305,-1.9173e+09
CI.CLC,5.08341,37.3805,-1.91859e+09
CI.CLC,5.08341,37.4305,-1.91992e+09
CI.CLC,5.08341,37.4805,-1.92052e+09
CI.CLC,5.08341,37.5305,-1.92091e+09
CI.CLC,5.08341,37.5805,-1.92047e+09
CI.CLC,5.08341,37.6305,-1.92008e+09
CI.CLC,5.08341,37.6805,-1.92049e+09
CI.CLC,5.08341,37.7305,-1.9203e+09
CI.CLC,5.08341,37.7805,-1.9202e+09
CI.CLC,5.08341,37.8305,-1.92018e+09
CI.CLC,5.08341,37.8805,-1.92079e+09
CI.CLC,5.08341,37.9305,-1.92087e+09
CI.CLC,5.08341,37.9805,-1.92109e+09
CI.CLC,5.08341,38.0305,-1.92096e+09
CI.CLC,5.08341,38.0805,-1.92172e+09
CI.CLC,5.08341,38.1305,-1.92138e+09
CI.CLC,5.08341,38.1805,-1.92107e+09
CI.CLC,5.08341,38.2305,-1.92073e+09
CI.CLC,5.08341,38.2805,-1.92095e+09
CI.CLC,5.08341,38.3305,-1.92063e+09
CI.CLC,5.08341,38.3805,-1.92074e+09
CI.CLC,5.08341,38.4305,-1.92028e+09
CI.CLC,5.08341,38.4805,-1.91988e+09
CI.CLC,5.08341,38.5305,-1.92001e+09
