station,distance_km,sample,ratio
CI.DAW,55.7677,10.6828,4.34315
CI.DAW,55.7677,10.7328,2.90697
CI.DAW,55.7677,10.7828,1.47114
CI.DAW,55.7677,10.8328,0.0360851
CI.DAW,55.7677,10.8828,2.26381
CI.DAW,55.7677,10.9328,4.14687
CI.DAW,55.7677,10.9828,5.75934
CI.DAW,55.7677,11.0328,6.55949
CI.DAW,55.7677,11.0828,6.71345
CI.DAW,55.7677,11.1328,6.86507
CI.DAW,55.7677,11.1828,5.21966
CI.DAW,55.7677,11.2328,3.59959
CI.DAW,55.7677,11.2828,2.00459
CI.DAW,55.7677,11.3328,1.21225
CI.DAW,55.7677,11.3828,1.20379
CI.DAW,55.7677,11.4328,1.19507
CI.DAW,55.7677,11.4828,1.18657
CI.DAW,55.7677,11.5328,1.1783
CI.DAW,55.7677,11.5828,1.2687
CI.DAW,55.7677,11.6328,1.35685
CI.DAW,55.7677,11.6828,1.44337
CI.DAW,55.7677,11.7328,1.52821
CI.DAW,55.7677,11.7828,1.61116
CI.DAW,55.7677,11.8328,1.69259
CI.DAW,55.7677,11.8828,1.67547
CI.DAW,55.7677,11.9328,1.65839
CI.DAW,55.7677,11.9828,1.64113
CI.DAW,55.7677,12.0328,1.62427
CI.DAW,55.7677,12.0828,1.60801
CI.DAW,55.7677,12.1328,1.59118
CI.DAW,55.7677,12.1828,1.57467
CI.DAW,55.7677,12.2328,1.55839
CI.DAW,55.7677,12.2828,1.54252
CI.DAW,55.7677,12.3328,1.52697
CI.DAW,55.7677,12.3828,1.51186
CI.DAW,55.7677,12.4328,1.49752
CI.DAW,55.7677,12.4828,1.48364
CI.DAW,55.7677,12.5328,1.47067
CI.DAW,55.7677,12.5828,1.458
CI.DAW,55.7677,12.6328,1.44548
CI.DAW,55.7677,12.6828,1.43231
CI.DAW,55.7677,12.7328,1.41922
CI.DAW,55.7677,12.7828,1.40647
CI.DAW,55.7677,12.8328,1.39353
CI.DAW,55.7677,12.8828,1.38059
CI.DAW,55.7677,12.9328,1.36781
CI.DAW,55.7677,12.9828,1.35604
CI.DAW,55.7677,13.0328,1.34458
CI.DAW,55.7677,13.0828,1.33292
CI.DAW,55.7677,13.1328,1.32121
CI.DAW,55.7677,13.1828,1.30976
CI.DAW,55.7677,13.2328,1.29882
CI.DAW,55.7677,13.2828,1.28786
CI.DAW,55.7677,13.3328,1.2772
CI.DAW,55.7677,13.3828,1.26677
CI.DAW,55.7677,13.4328,1.06441
CI.DAW,55.7677,13.4828,0.862344
CI.DAW,55.7677,13.5328,0.660355
CI.DAW,55.7677,13.5828,0.458373
CI.DAW,55.7677,13.6328,0.256369
CI.DAW,55.7677,13.6828,0.0546008
CI.DAW,55.7677,13.7328,0.0545421
CI.DAW,55.7677,13.7828,0.0545279
CI.DAW,55.7677,13.8328,0.0544018
CI.DAW,55.7677,13.8828,0.0542901
CI.DAW,55.7677,13.9328,0.0542513
CI.DAW,55.7677,13.9828,0.0542019
CI.DAW,55.7677,14.0328,0.0541906
CI.DAW,55.7677,14.0828,0.0542006
CI.DAW,55.7677,14.1328,0.0543227
CI.DAW,55.7677,14.1828,0.0544608
CI.DAW,55.7677,14.2328,0.0545215
CI.DAW,55.7677,14.2828,0.0544938
CI.DAW,55.7677,14.3328,0.0544919
CI.DAW,55.7677,14.3828,0.054419
CI.DAW,55.7677,14.4328,0.0542992
CI.DAW,55.7677,14.4828,0.0541444
CI.DAW,55.7677,14.5328,0.0541209
CI.DAW,55.7677,14.5828,0.0541213
CI.DAW,55.7677,14.6328,0.0540646
CI.DAW,55.7677,14.6828,0.0539797
CI.DAW,55.7677,14.7328,0.0539801
CI.DAW,55.7677,14.7828,0.0540821
CI.DAW,55.7677,14.8328,0.0541055
CI.DAW,55.7677,14.8828,0.0542035
CI.DAW,55.7677,14.9328,0.0543356
CI.DAW,55.7677,14.9828,0.0544255
CI.DAW,55.7677,15.0328,0.0544387
CI.DAW,55.7677,15.0828,0.0542691
CI.DAW,55.7677,15.1328,0.0540905
CI.DAW,55.7677,15.1828,0.0538965
CI.DAW,55.7677,15.2328,0.0536597
CI.DAW,55.7677,15.2828,0.0534946
CI.DAW,55.7677,15.3328,0.0534514
CI.DAW,55.7677,15.3828,0.053446
CI.DAW,55.7677,15.4328,0.0534316
CI.DAW,55.7677,15.4828,0.053454
CI.DAW,55.7677,15.5328,0.0535502
CI.DAW,55.7677,15.5828,0.053694
CI.DAW,55.7677,15.6328,0.0537104
CI.DAW,55.7677,15.6828,0.0538035
CI.DAW,55.7677,15.7328,0.0539906
CI.DAW,55.7677,15.7828,0.0541219
CI.DAW,55.7677,15.8328,0.0542034
CI.DAW,55.7677,15.8828,0.0542457
CI.DAW,55.7677,15.9328,0.0541959
CI.DAW,55.7677,15.9828,0.0541669
CI.DAW,55.7677,16.0328,0.0539998
CI.DAW,55.7677,16.0828,0.0538542
CI.DAW,55.7677,16.1328,0.0537073
CI.DAW,55.7677,16.1828,0.0546638
CI.DAW,55.7677,16.2328,0.0557358
CI.DAW,55.7677,16.2828,0.0565372
CI.DAW,55.7677,16.3328,0.0574424
CI.DAW,55.7677,16.3828,0.0584697
CI.DAW,55.7677,16.4328,0.0594567
CI.DAW,55.7677,16.4828,0.05949
CI.DAW,55.7677,16.5328,0.0595365
CI.DAW,55.7677,16.5828,0.0593953
CI.DAW,55.7677,16.6328,0.0592452
CI.DAW,55.7677,16.6828,0.0600665
CI.DAW,55.7677,16.7328,0.06102
CI.DAW,55.7677,16.7828,0.0619383
CI.DAW,55.7677,16.8328,0.0622433
CI.DAW,55.7677,16.8828,0.0627053
CI.DAW,55.7677,16.9328,0.0633299
CI.DAW,55.7677,16.9828,0.0640795
CI.DAW,55.7677,17.0328,0.0648991
CI.DAW,55.7677,17.0828,0.0657591
CI.DAW,55.7677,17.1328,0.0662646
CI.DAW,55.7677,17.1828,0.0665318
CI.DAW,55.7677,17.2328,0.0666705
CI.DAW,55.7677,17.2828,0.0668168
CI.DAW,55.7677,17.3328,0.0669275
CI.DAW,55.7677,17.3828,0.0669996
CI.DAW,55.7677,17.4328,0.0670713
CI.DAW,55.7677,17.4828,0.0673233
