station,distance_km,sample,ratio
IC.MDJ,366.929,16.5945,0.999754
IC.MDJ,366.929,16.6445,0.999798
IC.MDJ,366.929,16.6945,0.999852
IC.MDJ,366.929,16.7445,0.999911
IC.MDJ,366.929,16.7945,0.999974
IC.MDJ,366.929,16.8445,1.00004
IC.MDJ,366.929,16.8945,1.0001
IC.MDJ,366.929,16.9445,1.00017
IC.MDJ,366.929,16.9945,1.00023
IC.MDJ,366.929,17.0445,1.0003
IC.MDJ,366.929,17.0945,1.00037
IC.MDJ,366.929,17.1445,1.00043
IC.MDJ,366.929,17.1945,1.00049
IC.MDJ,366.929,17.2445,1.00054
IC.MDJ,366.929,17.2945,1.00059
IC.MDJ,366.929,17.3445,1.00063
IC.MDJ,366.929,17.3945,1.00066
IC.MDJ,366.929,17.4445,1.00068
IC.MDJ,366.929,17.4945,1.0007
IC.MDJ,366.929,17.5445,1.0007
IC.MDJ,366.929,17.5945,1.00069
IC.MDJ,366.929,17.6445,1.00068
IC.MDJ,366.929,17.6945,1.00066
IC.MDJ,366.929,17.7445,1.00064
IC.MDJ,366.929,17.7945,1.00061
IC.MDJ,366.929,17.8445,1.00057
IC.MDJ,366.929,17.8945,1.00053
IC.MDJ,366.929,17.9445,1.00049
IC.MDJ,366.929,17.9945,1.00044
IC.MDJ,366.929,18.0445,1.00039
IC.MDJ,366.929,18.0945,1.00033
IC.MDJ,366.929,18.1445,1.00028
IC.MDJ,366.929,18.1945,1.00022
IC.MDJ,366.929,18.2445,1.00018
IC.MDJ,366.929,18.2945,1.00014
IC.MDJ,366.929,18.3445,1.00011
IC.MDJ,366.929,18.3945,1.00009
IC.MDJ,366.929,18.4445,1.00008
IC.MDJ,366.929,18.4945,1.00007
IC.MDJ,366.929,18.5445,1.00008
IC.MDJ,366.929,18.5945,1.00009
IC.MDJ,366.929,18.6445,1.00012
IC.MDJ,366.929,18.6945,1.00015
IC.MDJ,366.929,18.7445,1.00019
IC.MDJ,366.929,18.7945,1.00023
IC.MDJ,366.929,18.8445,1.00028
IC.MDJ,366.929,18.8945,1.00032
IC.MDJ,366.929,18.9445,1.00036
IC.MDJ,366.929,18.9945,1.00039
IC.MDJ,366.929,19.0445,1.00042
IC.MDJ,366.929,19.0945,1.00044
IC.MDJ,366.929,19.1445,1.00047
IC.MDJ,366.929,19.1945,1.00048
IC.MDJ,366.929,19.2445,1.00049
IC.MDJ,366.929,19.2945,1.00049
IC.MDJ,366.929,19.3445,1.00048
IC.MDJ,366.929,19.3945,1.00046
IC.MDJ,366.929,19.4445,1.00042
IC.MDJ,366.929,19.4945,1.00037
IC.MDJ,366.929,19.5445,1.00032
IC.MDJ,366.929,19.5945,1.00025
IC.MDJ,366.929,19.6445,1.00017
IC.MDJ,366.929,19.6945,1.00009
IC.MDJ,366.929,19.7445,1.00001
IC.MDJ,366.929,19.7945,0.99992
IC.MDJ,366.929,19.8445,0.999837
IC.MDJ,366.929,19.8945,0.999757
IC.MDJ,366.929,19.9445,0.999686
IC.MDJ,366.929,19.9945,0.999628
IC.MDJ,366.929,20.0445,0.999583
IC.MDJ,366.929,20.0945,0.999547
IC.MDJ,366.929,20.1445,0.999517
IC.MDJ,366.929,20.1945,0.999493
IC.MDJ,366.929,20.2445,0.999476
IC.MDJ,366.929,20.2945,0.999466
IC.MDJ,366.929,20.3445,0.999462
KS.BUS2,677.699,25.2195,0
KS.BUS2,677.699,25.3195,0
KS.BUS2,677.699,25.4195,0
KS.BUS2,677.699,25.5195,0
KS.BUS2,677.699,25.6195,0
KS.BUS2,677.699,25.7195,0
KS.BUS2,677.699,25.8195,0
KS.BUS2,677.699,25.9195,0
KS.BUS2,677.699,26.0195,0
KS.BUS2,677.699,26.1195,0
KS.BUS2,677.699,26.2195,0
KS.BUS2,677.699,26.3195,0
KS.BUS2,677.699,26.4195,0
KS.BUS2,677.699,26.5195,0
KS.BUS2,677.699,26.6195,0
KS.BUS2,677.699,26.7195,0
KS.BUS2,677.699,26.8195,0
KS.BUS2,677.699,26.9195,0
KS.BUS2,677.699,27.0195,0
KS.BUS2,677.699,27.1195,0
KS.BUS2,677.699,27.2195,0
KS.BUS2,677.699,27.3195,0
KS.BUS2,677.699,27.4195,0
KS.BUS2,677.699,27.5195,0
KS.BUS2,677.699,27.6195,0
KS.BUS2,677.699,27.7195,0
KS.BUS2,677.699,27.8195,0
KS.BUS2,677.699,27.9195,0
KS.BUS2,677.699,28.0195,0
KS.BUS2,677.699,28.1195,0
KS.BUS2,677.699,28.2195,0
KS.BUS2,677.699,28.3195,0
KS.BUS2,677.699,28.4195,0
KS.BUS2,677.699,28.5195,0
KS.BUS2,677.699,28.6195,0
KS.BUS2,677.699,28.7195,0
KS.BUS2,677.699,28.8195,0
KS.BUS2,677.699,28.9195,0
KS.BUS2,677.699,29.0195,0
KS.BUS2,677.699,29.1195,0
KS.BUS2,677.699,29.2195,0
KS.BUS2,677.699,29.3195,0
KS.BUS2,677.699,29.4195,0
KS.BUS2,677.699,29.5195,0
KS.BUS2,677.699,29.6195,0
KS.BUS2,677.699,29.7195,0
KS.BUS2,677.699,29.8195,0
KS.BUS2,677.699,29.9195,0
KS.BUS2,677.699,30.0195,0
KS.BUS2,677.699,30.1195,0
KS.BUS2,677.699,30.2195,0
KS.BUS2,677.699,30.3195,0
KS.BUS2,677.699,30.4195,0
KS.BUS2,677.699,30.5195,0
KS.BUS2,677.699,30.6195,0
KS.BUS2,677.699,30.7195,0
KS.BUS2,677.699,30.8195,0
KS.BUS2,677.699,30.9195,0
KS.BUS2,677.699,31.0195,0
KS.BUS2,677.699,31.1195,0
KS.BUS2,677.699,31.2195,0
KS.BUS2,677.699,31.3195,0
KS.BUS2,677.699,31.4195,0
KS.BUS2,677.699,31.5195,0
KS.BUS2,677.699,31.6195,0
KS.BUS2,677.699,31.7195,0
KS.BUS2,677.699,31.8195,0
KS.BUS2,677.699,31.9195,0
KS.BUS2,677.699,32.0195,0
KS.BUS2,677.699,32.1195,0
KS.BUS2,677.699,32.2195,0
KS.BUS2,677.699,32.3195,0
KS.BUS2,677.699,32.4195,0
KS.BUS2,677.699,32.5195,0
KS.BUS2,677.699,32.6195,0
KS.BUS2,677.699,32.7195,0
KS.BUS2,677.699,32.8195,0
